Date,CL Brent Price,CL WTI Price,Federal Fund Rate,ACTUAL_RELEASE_gdp_growth,CPI_growth,PCE_growth,NG Price,Unemployment Rate,NFP,Stock,Per End,P/E,P/B,D/E,PEG,Reported,Total Assets,Total Liabilities,Total Shareholders' Equity,Book Value per Share,ST Debt & Curr. Portion LT Debt,Long-Term Debt,Total Equity,Revenue,Operating Expenses,Net Income,Net Operating Cash Flow,Net Investing Cash Flow
MAR '23,79.77,75.67,4.65,2,0.1,0.29,2.216,3.5,155206,PTEN,MAR '23,77.22707423580785,4.398143254874701,0.5054708519107185,335.278517413995,0.458,3092.345,1419.388,1672.957,8.04203,5.045,840.586,1672.957,791.802,702.1070000000001,99.678,234.349,-116.345
MAR '23,79.77,75.67,4.65,2,0.1,0.29,2.216,3.5,155206,VNOM,MAR '23,44.78155339805825,3.9893746411995368,0.30367540441837215,-322.4271844660195,0.824,3019.736,727.308,667.066,9.24957,1,695.154,2292.428,161.085,49.40200000000001,33.895,107.243,-116.583
MAR '23,79.77,75.67,4.65,2,0.1,0.29,2.216,3.5,155206,WFRD,MAR '23,42.039397450753185,4.606984126984127,4.0290102389078495,129.16452550086478,0.863,4709,4123,567,7.875,164,2197,586,1186,1196,72,84,-64
DEC '22,85.91,80.26,4.1,2.6,0.1,0.36,4.475,3.57,154291,APA,DEC '22,25.681511470985157,28.03290883780539,4.2773234200743495,-105.89660285566715,1.482,13147,11802,423,1.35769,169,5584,1345,2472,1628,443,1413,-617
DEC '22,85.91,80.26,4.1,2.6,0.1,0.36,4.475,3.57,154291,BKR,DEC '22,109.83050847457628,3.170221167656196,0.509328743545611,-302.41003018342235,0.413,34181,19656,14394,14.30815,866,6532,14525,5905,5869,182,898,-984
DEC '22,85.91,80.26,4.1,2.6,0.1,0.36,4.475,3.57,154291,CHRD,DEC '22,7.480735032602253,0.3355535170635079,0.08958014854487309,-26.556174944423667,5.061,7027.979,2348.181,4679.798,112.8285,10.953,408.264,4679.798,1015.603,632.9370000000001,377.568,478.392,-356.863
DEC '22,85.91,80.26,4.1,2.6,0.1,0.36,4.475,3.57,154291,CHX,DEC '22,103.33333333333333,5.083884087442806,0.4378770759860841,-839.0666666666662,0.42,3387.483,1710.268,1694.55,8.53678,41.071,693.343,1677.215,985.855,1010.917,67.857,195.093,-26.463
DEC '22,85.91,80.26,4.1,2.6,0.1,0.36,4.475,3.57,154291,EXE,DEC '22,12.840755735492579,0.5619527014776138,0.34842174484875055,-30.468868621748754,2.964,15726,6602,9124,67.72812,86,3093,9124,3136,1916,3580,1050,-544
DEC '22,85.91,80.26,4.1,2.6,0.1,0.36,4.475,3.57,154291,FANG,DEC '22,7.136696043502719,0.45604241218397706,0.40656469088591457,-40.382126585614316,5.333,26209,10519,15009,83.45715,141,6238,15690,2030,779,999,1441,-1378
DEC '22,85.91,80.26,4.1,2.6,0.1,0.36,4.475,3.57,154291,GPRE,DEC '22,-63.81818181818181,2.7444405856630993,0.6700761309852544,-109.71481942714816,-0.66,2246.12,1185.054,910.031,15.34739,160.237,550.758,1061.066,921.612,953.5840000000001,-38.616,104.175,-14.968
DEC '22,85.91,80.26,4.1,2.6,0.1,0.36,4.475,3.57,154291,PTEN,DEC '22,94.43946188340806,5.400976330336637,0.5137449317721821,-694.804612427931,0.446,3143.823,1478.3,1665.523,7.79859,5.123,850.531,1665.523,788.476,708.275,100.097,302.941,-113.575
DEC '22,85.91,80.26,4.1,2.6,0.1,0.36,4.475,3.57,154291,VNOM,DEC '22,140.44280442804427,4.039246276220345,0.2489290444858444,-4736.752767527663,0.271,2920.373,598.848,690.01,9.42255,1,576.895,2321.525,186.148,47.203,22.38,186.555,27.96
DEC '22,85.91,80.26,4.1,2.6,0.1,0.36,4.475,3.57,154291,WFRD,DEC '22,51.03971962616822,5.7981131249162265,4.372050816696914,115.42828900071889,0.856,4720,4169,535,7.53521,89,2320,551,1209,1237,72,193,-32
SEP '22,87.96,79.49,2.56,3.2,0.4,0.44,6.766,3.53,153536,APA,SEP '22,22.445459157787926,23.858059645149112,3.6382978723404253,-74.9623303220693,1.971,13629,12078,600,1.8543,239,5404,1551,2887,1608,422,1104,-910
SEP '22,87.96,79.49,2.56,3.2,0.4,0.44,6.766,3.53,153536,BKR,SEP '22,159.9618320610687,2.969692975836435,0.4632143105728405,254.90691947796105,0.262,33165,18798,14144,14.11257,43,6612,14367,5369,5503,-17,597,-150
SEP '22,87.96,79.49,2.56,3.2,0.4,0.44,6.766,3.53,153536,CHRD,SEP '22,2.6655419654154366,0.41120209690761894,0.09394980286583222,-9.907523314119693,16.597,6555.135,2084.322,4470.813,107.587,11.87,408.162,4470.813,1188.843,753.605,941.609,783.643,-174.018
SEP '22,87.96,79.49,2.56,3.2,0.4,0.44,6.766,3.53,153536,CHX,SEP '22,67.76611694152923,5.265935571511289,0.4325534601586103,267.7588035250667,0.667,3402.78,1708.06,1710.686,8.58347,33.376,699.681,1694.72,1021.561,1060.305,23.068,187.152,-19.719
SEP '22,87.96,79.49,2.56,3.2,0.4,0.44,6.766,3.53,153536,EXE,SEP '22,9.447080668454714,0.8753606155014341,0.4337482275090594,-26.560577843947627,4.847,14089,7742,6347,52.30987,36,2717,6347,4193,2196,883,1313,-495
SEP '22,87.96,79.49,2.56,3.2,0.4,0.44,6.766,3.53,153536,FANG,SEP '22,7.60485481640805,0.6280255447804416,0.36797637038054676,-40.94137919587182,6.509,23843,9285,13843,78.81845,10,5347,14558,2437,814,1172,1925,-720
SEP '22,87.96,79.49,2.56,3.2,0.4,0.44,6.766,3.53,153536,GPRE,SEP '22,-37.2655634357762,2.914100883720042,0.6916245820734904,-3080.619910690807,-1.269,2101.54,988.306,962.042,16.22799,225.737,544.203,1113.234,951.492,1043.939,-73.526,72.175,-54.942
SEP '22,87.96,79.49,2.56,3.2,0.4,0.44,6.766,3.53,153536,PTEN,SEP '22,164.57142857142856,6.113092205807438,0.5377931148413624,130.22608695652173,0.28,3041.999,1407.614,1634.385,7.53792,5.421,873.54,1634.385,727.503,679.9649999999999,61.452,178.23,-121.458
SEP '22,87.96,79.49,2.56,3.2,0.4,0.44,6.766,3.53,153536,VNOM,SEP '22,126.92307692307692,5.075288573731126,0.2927383100100266,-543.635125936011,0.39,2985.757,694.844,723.254,9.75314,1,669.638,2290.913,219.909,50.376000000000005,79.167,214.221,-11.587
SEP '22,87.96,79.49,2.56,3.2,0.4,0.44,6.766,3.53,153536,WFRD,SEP '22,131.01449275362322,7.084328587460112,5.38135593220339,127.49732516292191,0.345,4707,4235,453,6.38028,60,2480,472,1120,1161,28,160,-29
JUN '22,114.81,105.76,1.21,-0.6,1.2,0.59,5.424,3.63,152348,APA,JUN '22,14.423963133640553,19.65541651443186,3.5920265780730896,-80.22898154477102,2.387,12924,11419,584,1.75168,246,5160,1505,3047,1522,926,1535,-450
JUN '22,114.81,105.76,1.21,-0.6,1.2,0.59,5.424,3.63,152348,BKR,JUN '22,364.5833333333333,2.3808438662999714,0.44140262495028504,2851.5625,0.096,33753,18667,14882,14.70067,34,6625,15086,5047,5322,-839,321,-164
JUN '22,114.81,105.76,1.21,-0.6,1.2,0.59,5.424,3.63,152348,CHRD,JUN '22,77.37078651685393,0.5650568700280576,0.3532546640669863,1383.2429553351787,0.445,3062.41,1864.314,1198.096,60.93192,27,396.233,1198.096,789.38,483.744,130.839,396.411,-180.984
JUN '22,114.81,105.76,1.21,-0.6,1.2,0.59,5.424,3.63,152348,CHX,JUN '22,121.29032258064517,3.796965569241886,0.443813916909064,440.1105990783411,0.279,3463.151,1670.296,1808.321,8.91238,37.126,758.568,1792.855,932.572,995.4109999999998,27.342,74.24,-20.743
JUN '22,114.81,105.76,1.21,-0.6,1.2,0.59,5.424,3.63,152348,EXE,JUN '22,7.510451505016722,0.7521930940174376,0.5321969696969697,46.161504989837496,4.784,13899,8091,5808,47.76699,45,3046,5808,4013,2207,1237,909,-415
JUN '22,114.81,105.76,1.21,-0.6,1.2,0.59,5.424,3.63,152348,FANG,JUN '22,5.277737065806829,0.47379122713901406,0.3791521890201529,-178.3659710403293,6.823,23448,9058,13316,76.00394,55,5401,14390,2768,829,1403,1707,-516
JUN '22,114.81,105.76,1.21,-0.6,1.2,0.59,5.424,3.63,152348,GPRE,JUN '22,49.21917808219178,2.077539102026656,0.8988942701915175,-16.494362628080356,0.73,2296.008,1214.279,931.173,17.2945,425.337,547.023,1081.729,1006.625,1010.9480000000001,46.398,55.899,-73.275
JUN '22,114.81,105.76,1.21,-0.6,1.2,0.59,5.424,3.63,152348,PTEN,JUN '22,502.7142857142856,4.841092747027797,0.574252846141791,-67.02857142857141,0.07,2959.977,1383.896,1576.081,7.26902,5.723,899.346,1576.081,622.238,620.858,21.886,51.343,-84.826
JUN '22,114.81,105.76,1.21,-0.6,1.2,0.59,5.424,3.63,152348,VNOM,JUN '22,80.92134831460673,3.721459936690742,0.29742597192129505,-309.9618897430842,0.445,2971.985,701.225,734.879,9.67631,1,674.383,2270.76,238.83,51.761,33.909,163.182,-0.759
JUN '22,114.81,105.76,1.21,-0.6,1.2,0.59,5.424,3.63,152348,WFRD,JUN '22,-86.25,5.286053770838528,5.303462321792261,47.65046296296296,-0.408,4735,4244,466,6.65714,117,2487,491,1064,1131,6,60,-2
MAR '22,107.91,100.28,0.2,-1.6,1.1,0.38,5.642,3.8,151370,APA,MAR '22,23.43182996371177,-854.6038948761582,7.041079812206573,228.78578422901913,1.929,12476,11624,-18,-0.05289,235,5764,852,2669,1450,1883,891,466
MAR '22,107.91,100.28,0.2,-1.6,1.1,0.38,5.642,3.8,151370,BKR,MAR '22,273.641975308642,2.77962403280621,0.4064571046391439,2123.461728395062,0.162,34994,18547,15704,15.9482,35,6650,16447,4835,5117,72,72,-266
MAR '22,107.91,100.28,0.2,-1.6,1.1,0.38,5.642,3.8,151370,CHRD,MAR '22,-3.2283408327976577,0.6134946009760536,0.29476692536493654,-33.09049353617604,-14.001,3007.948,1565.985,1441.963,73.67628,27.536,397.507,1441.963,652.969,386.987,-19.551,265.58,29.303
MAR '22,107.91,100.28,0.2,-1.6,1.1,0.38,5.642,3.8,151370,CHX,MAR '22,173.96396396396395,4.3808205814626175,0.46438118962269886,629.4332514332515,0.222,3571.718,1794.146,1792.231,8.8157,62.638,762.833,1777.572,865.96,937.8919999999999,36.702,-43.125,-21.064
MAR '22,107.91,100.28,0.2,-1.6,1.1,0.38,5.642,3.8,151370,EXE,MAR '22,23.677317967522264,1.0668340872372892,0.5207133568642022,41.30357692826929,1.909,13293,7910,5383,42.36835,29,2774,5383,2781,1732,-764,853,-1947
MAR '22,107.91,100.28,0.2,-1.6,1.1,0.38,5.642,3.8,151370,FANG,MAR '22,7.793129917482249,0.5658267137924198,0.42217730291654637,18.557912743774732,5.211,23331,9479,12743,71.77109,45,5803,13852,2408,776,779,1252,-716
MAR '22,107.91,100.28,0.2,-1.6,1.1,0.38,5.642,3.8,151370,GPRE,MAR '22,-35.008620689655174,2.4543963369600297,0.9312425487264137,24.33526072329689,-1.16,2252.501,1209.894,890.525,16.54582,362.75,608.17,1042.607,787.421,816.2340000000002,-61.474,-162.54,37.933
MAR '22,107.91,100.28,0.2,-1.6,1.1,0.38,5.642,3.8,151370,PTEN,MAR '22,-305.1145038167939,5.457668591028504,0.5563788649577376,351.5449717889147,-0.131,2888.964,1312.265,1576.699,7.32364,6.432,870.81,1576.699,509.375,555.317,-28.777,33.674,-93.368
MAR '22,107.91,100.28,0.2,-1.6,1.1,0.38,5.642,3.8,151370,VNOM,MAR '22,80.09861932938855,4.0610487325847915,0.3218959988871927,269.66535174227477,0.507,3001.085,758.109,769.653,9.99988,1,721.005,2242.976,193.089,45.187000000000005,16.541,135.838,31.957
MAR '22,107.91,100.28,0.2,-1.6,1.1,0.38,5.642,3.8,151370,WFRD,MAR '22,-64.05448717948718,7.0654076087917215,6.13849765258216,147.44178321678322,-0.624,4684,4258,396,5.65714,69,2546,426,938,1059,-80,-64,9
DEC '21,77.78,75.21,0.08,6.9,0.7,0.6,3.73,4.17,149763,APA,DEC '21,20.88829071332436,-6.751554119013543,-1552.2,48.269331130319394,1.486,13303,13308,-1595,-4.59746,314,7447,-5,2299,1535,382,1085,-291
DEC '21,77.78,75.21,0.08,6.9,0.7,0.6,3.73,4.17,149763,BKR,DEC '21,134.12017167381973,1.915458701790969,0.4506747880090768,-459.3615879828324,0.233,35308,18562,14830,16.31463,236,7311,16746,5519,5566,294,774,-251
DEC '21,77.78,75.21,0.08,6.9,0.7,0.6,3.73,4.17,149763,CHRD,DEC '21,7.298768939393939,0.5753554168042226,0.334264919083837,11.344741385089835,4.224,3041.708,1820.135,1032.9,53.58427,8.901,399.428,1221.573,521.577,300.99699999999996,188.2,269.39,-831.738
DEC '21,77.78,75.21,0.08,6.9,0.7,0.6,3.73,4.17,149763,CHX,DEC '21,127.59541984732824,3.830135824888436,0.48048659670171756,-874.4039066008086,0.262,3534.701,1780.394,1770.645,8.72815,67.245,775.676,1754.307,822.145,890.764,43.449,88.419,-29.251
DEC '21,77.78,75.21,0.08,6.9,0.7,0.6,3.73,4.17,149763,EXE,DEC '21,18.47213900539245,0.6410494997090014,0.40680655968964907,127.7405573565087,1.669,11009,5338,5671,48.09301,29,2278,5671,2785,1610,1434,563,-455
DEC '21,77.78,75.21,0.08,6.9,0.7,0.6,3.73,4.17,149763,FANG,DEC '21,8.709315375982042,0.45592274342110384,0.511362778406946,22.688641524293253,3.564,22898,9653,12088,68.08171,131,6642,13245,2022,762,1002,1167,-216
DEC '21,77.78,75.21,0.08,6.9,0.7,0.6,3.73,4.17,149763,GPRE,DEC '21,-217.45222929936307,1.9250569792055505,0.7162471790413777,111.51396374326312,-0.157,2265.947,1163.928,950.5,17.73454,225.517,563.801,1102.019,966.895,821.042,-9.568,32.118,-192.815
DEC '21,77.78,75.21,0.08,6.9,0.7,0.6,3.73,4.17,149763,PTEN,DEC '21,-20.377588306942755,4.472592339114999,0.5450941821835156,51.23507917174179,-1.642,2957.848,1348.361,1609.487,7.48112,6.891,870.431,1609.487,466.493,835.503,-364.359,44.414,-102.237
